fips,county,state_abbr,state_name,year,y_diabetes_prevalence_adults_with_diabetes,chr_65_and_older_65_and_over,chr_access_to_exercise_opportunities,chr_adult_obesity,chr_food_environment_index,chr_primary_care_physicians,chr_rural,chr_unemployment,chr_uninsured,centroid_x_m,centroid_y_m
1001,Autauga,AL,Alabama,mean,10.6,16.048735088,55.537794405,37.3,6.6,25,22921,742,2456.2797104885,870644,1096003
1003,Baldwin,AL,Alabama,mean,9.7,21.469823731,65.735846777,32.6,7.5,150,77060,2946,9700.937440413,787143,865713
1005,Barbour,AL,Alabama,mean,15.6,19.976766544,54.842802204,46.4,5.8,8,18613,469,1175.684137719,1008631,1040962
1007,Bibb,AL,Alabama,mean,12.2,16.737109045,18.211994797,38.4,7.4,14,15663,298,1055.0039389615,815015,1147457
1009,Blount,AL,Alabama,mean,10.9,18.725970089,41.353536037,32.7,7.8,12,51562,598,3084.627336147,856947,1257026
1011,Bullock,AL,Alabama,mean,18.1,17.596899225,2.78072801,48.3,4.3,3,5607,184,397.183773525,964905,1057855
1013,Butler,AL,Alabama,mean,13.8,21.240203347,45.005511522,45.4,6.8,4,14921,468,999.242527174,874142,1004931
1015,Calhoun,AL,Alabama,mean,12.3,18.462215017,64.796764026,37.4,6,68,39955,1906,5721.962500424,924200,1247661
1017,Chambers,AL,Alabama,mean,13.2,20.288931994,49.930978949,41.2,6.9,14,16816,579,1667.109744447,995220,1152448
1019,Cherokee,AL,Alabama,mean,11,23.975836134,38.224340235,41.3,7.4,10,22282,296,1268.4223918575,953875,1304202
1021,Chilton,AL,Alabama,mean,11.4,17.46697884,32.789798729,37.5,7.1,10,37858,565,2744.1314908805,863401,1132631
1023,Choctaw,AL,Alabama,mean,13.7,23.745312375,25.163837347,41.4,6.1,5,13859,200,584.8355601795,722009,1028673
1025,Clarke,AL,Alabama,mean,14.2,20.474516696,52.986529216,40.6,5.1,11,19628,462,1221.349199188,767777,988706
1027,Clay,AL,Alabama,mean,11.8,21.226215645,64.393087946,38.6,7.5,4,13932,165,729.189086926,928686,1194354
1029,Cleburne,AL,Alabama,mean,10.8,19.69807323,42.4282678,38.3,7.3,4,14972,151,797.249487705,961637,1233338
1031,Coffee,AL,Alabama,mean,11.5,17.115221324,48.802020013,43.6,6.9,25,23573,610,2956.8472483345,940027,980373
1033,Colbert,AL,Alabama,mean,11.1,20.254375892,64.9850595,37,6.7,35,23891,936,2274.727576358,736626,1331760
